mid,lr,epoch,wd,ld,ld_type,criterion,avg_acc
0,5.00E-05,500,0.001,0.01,exponential,MSE,49.70000076
0,5.00E-05,500,0.001,0.01,exponential,CROSSENTROPY,49.70000076
0,5.00E-05,500,0.001,0.01,time-based,MSE,86
0,5.00E-05,500,0.001,0.01,time-based,CROSSENTROPY,74.99999237
0,5.00E-05,500,0.01,0,exponential,MSE,97.79999542
0,5.00E-05,500,0.01,0,exponential,CROSSENTROPY,97.80000305
0,5.00E-05,500,0.01,0,time-based,MSE,97.79999542
0,5.00E-05,500,0.01,0,time-based,CROSSENTROPY,97.80000305
0,5.00E-05,500,0.01,0.0001,exponential,MSE,97.8999939
0,5.00E-05,500,0.01,0.0001,exponential,CROSSENTROPY,97.69999695
0,5.00E-05,500,0.01,0.0001,time-based,MSE,97.8999939
0,5.00E-05,500,0.01,0.0001,time-based,CROSSENTROPY,97.69999695
0,5.00E-05,500,0.01,0.001,exponential,MSE,97.59999847
0,5.00E-05,500,0.01,0.001,exponential,CROSSENTROPY,94.90000153
0,5.00E-05,500,0.01,0.001,time-based,MSE,97.59999847
0,5.00E-05,500,0.01,0.001,time-based,CROSSENTROPY,95.90000153
0,5.00E-05,500,0.01,0.01,exponential,MSE,49.70000076
0,5.00E-05,500,0.01,0.01,exponential,CROSSENTROPY,49.70000076
0,5.00E-05,500,0.01,0.01,time-based,MSE,86
0,5.00E-05,500,0.01,0.01,time-based,CROSSENTROPY,74.99999237
0,7.00E-05,250,0,0,exponential,MSE,97.69999695
0,7.00E-05,250,0,0,exponential,CROSSENTROPY,96.5
0,7.00E-05,250,0,0,time-based,MSE,97.69999695
0,7.00E-05,250,0,0,time-based,CROSSENTROPY,96.5
0,7.00E-05,250,0,0.0001,exponential,MSE,97.69999695
0,7.00E-05,250,0,0.0001,exponential,CROSSENTROPY,96.50000763
0,7.00E-05,250,0,0.0001,time-based,MSE,97.69999695
0,7.00E-05,250,0,0.0001,time-based,CROSSENTROPY,96.50000763
0,7.00E-05,250,0,0.001,exponential,MSE,97.70000458
0,7.00E-05,250,0,0.001,exponential,CROSSENTROPY,94
0,7.00E-05,250,0,0.001,time-based,MSE,97.70000458
0,7.00E-05,250,0,0.001,time-based,CROSSENTROPY,94.30000305
0,7.00E-05,250,0,0.01,exponential,MSE,69.3999939
0,7.00E-05,250,0,0.01,exponential,CROSSENTROPY,52
0,7.00E-05,250,0,0.01,time-based,MSE,89.3999939
0,7.00E-05,250,0,0.01,time-based,CROSSENTROPY,77.59999847
0,7.00E-05,250,0.0001,0,exponential,MSE,97.69999695
0,7.00E-05,250,0.0001,0,exponential,CROSSENTROPY,96.5
0,7.00E-05,250,0.0001,0,time-based,MSE,97.69999695
0,7.00E-05,250,0.0001,0,time-based,CROSSENTROPY,96.5
0,7.00E-05,250,0.0001,0.0001,exponential,MSE,97.69999695
0,7.00E-05,250,0.0001,0.0001,exponential,CROSSENTROPY,96.50000763
